Link do jogo,Nome do Jogo,Preço com desconto,Desconto aplicado,Avaliação do jogo,Data de Lançamento,Data de Fim da promoção
https://store.steampowered.com/app/791200/?curator_clanid=4777282&utm_source=SteamDB,Planet Cube: Edge,"R$ 15,50",-67%,82.35%,Feb 2023,
https://store.steampowered.com/app/1622800/?curator_clanid=4777282&utm_source=SteamDB,Super Dungeon Maker,"R$ 24,59",-59%,82.34%,May 2023,
https://store.steampowered.com/app/2248760/?curator_clanid=4777282&utm_source=SteamDB,Car For Sale Simulator 2023,"R$ 38,49",-30%,82.34%,Nov 2024,
https://store.steampowered.com/app/1126600/?curator_clanid=4777282&utm_source=SteamDB,Before I Forget,"R$ 4,97",-70%,82.33%,Jul 2020,
https://store.steampowered.com/app/2289560/?curator_clanid=4777282&utm_source=SteamDB,从0开始的VUP生活,"R$ 41,35",-12%,82.33%,Nov 2024,
https://store.steampowered.com/app/1543280/?curator_clanid=4777282&utm_source=SteamDB,Espresso Tycoon,"R$ 56,59",-29%,82.31%,Jun 2023,—
https://store.steampowered.com/app/337850/?curator_clanid=4777282&utm_source=SteamDB,Avernum 2: Crystal Souls,"R$ 11,09",-70%,82.30%,Jan 2015,
https://store.steampowered.com/app/1618230/?curator_clanid=4777282&utm_source=SteamDB,恋爱关系/Romance,"R$ 5,21",-40%,82.30%,Sep 2021,
https://store.steampowered.com/app/521920/?curator_clanid=4777282&utm_source=SteamDB,Death's Hangover,"R$ 7,29",-33%,82.26%,Jan 2017,
https://store.steampowered.com/app/1184370/?curator_clanid=4777282&utm_source=SteamDB,Pathfinder: Wrath of the Righteous - Enhanced Edition,"R$ 108,44",-19%,82.22%,Sep 2021,—
https://store.steampowered.com/app/849210/?curator_clanid=4777282&utm_source=SteamDB,Raccoo Venture,"R$ 24,99",-50%,82.21%,Dec 2023,
https://store.steampowered.com/app/1918530/?curator_clanid=4777282&utm_source=SteamDB,Pocket Stables,"R$ 11,89",-36%,82.21%,Sep 2022,
https://store.steampowered.com/app/747200/?curator_clanid=4777282&utm_source=SteamDB,Keplerth,"R$ 35,24",-25%,82.21%,May 2022,
https://store.steampowered.com/app/2507840/?curator_clanid=4777282&utm_source=SteamDB,Whispered Promises ~ 14 Days of Love with Anna,"R$ 39,99",-20%,82.17%,Feb 2024,
https://store.steampowered.com/app/403400/?curator_clanid=4777282&utm_source=SteamDB,ARCADE GAME SERIES: DIG DUG,"R$ 14,99",-50%,82.16%,Apr 2016,—
https://store.steampowered.com/app/2336590/?curator_clanid=4777282&utm_source=SteamDB,White Night Dream,"R$ 2,44",-30%,82.16%,Jun 2023,
https://store.steampowered.com/app/1448820/?curator_clanid=4777282&utm_source=SteamDB,Hydrofoil Generation,"R$ 39,99",-50%,82.14%,Nov 2023,
https://store.steampowered.com/app/733210/?curator_clanid=4777282&utm_source=SteamDB,Neversong,"R$ 9,79",-80%,82.13%,May 2020,
https://store.steampowered.com/app/857950/?curator_clanid=4777282&utm_source=SteamDB,Incredible Mandy,"R$ 11,59",-60%,82.13%,Nov 2018,
https://store.steampowered.com/app/396900/?curator_clanid=4777282&utm_source=SteamDB,GRIP: Combat Racing,"R$ 5,79",-90%,82.09%,Nov 2018,
https://store.steampowered.com/app/1256610/?curator_clanid=4777282&utm_source=SteamDB,Dream Date,"R$ 2,24",-50%,82.06%,May 2020,
https://store.steampowered.com/app/1101140/?curator_clanid=4777282&utm_source=SteamDB,Fishing Adventure,"R$ 2,37",-86%,82.05%,Nov 2019,
https://store.steampowered.com/app/272510/?curator_clanid=4777282&utm_source=SteamDB,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,"R$ 8,39",-85%,82.03%,Sep 2014,
https://store.steampowered.com/app/15120/?curator_clanid=4777282&utm_source=SteamDB,Tom Clancy's Rainbow Six® Vegas 2,"R$ 7,49",-75%,82.02%,Apr 2008,
